# Student = Claudia Corbetta				
# Language = Old Italian				
# Description = Paradiso IV, vv. 1-51; English Mandelbaum translation, see https://digitaldante.columbia.edu/dante/divine-comedy/paradiso/paradiso-4/.				
				
# sent_id = 1				
# text = Intra due cibi, distanti e moventi d'un modo , prima si morria di fame, che liber' omo l' un recasse ai denti; sì si starebbe un agno intra due brame di fieri lupi, igualmente temendo; sì si starebbe un cane intra due dame: per che, s' i' mi tacea, me non riprendo, da li miei dubbi d'un modo sospinto, poi ch' era necessario, né commendo.				
# text_en = Before a man bit into one of two foods equally removed and tempting, he would die of hunger if his choice were free; so would a lamb stand motionless between the cravings of two savage wolves, in fear of both; so would a dog between two deer; thus, I need neither blame nor praise myself when both my doubts compelled me equally: what kept me silent was necessity.				
# lang = it. old				
1	Intra	between	ADP	Canto=4|Verso=1
2	due	two	NUM	Canto=4|Verso=1
3	cibi	foodPL	NOUN	Canto=4|Verso=1|SpaceAfter=No
4	,	,	PUNCT	_
5	distanti	removed	VERB	Canto=4|Verso=1
6	e	and	CCONJ	Canto=4|Verso=1
7	moventi	tempting	VERB	Canto=4|Verso=1
8	d'	of	ADP	_
9	un	one	DET	_
10	modo	way	NOUN	SpaceAfter=No
11	,	,	PUNCT	_
12	prima	before	ADJ	Canto=4|Verso=2
13	si	EXPL	PRON	Canto=4|Verso=2
14	morria	die	VERB	Canto=4|Verso=2
15	di	of	ADP	Canto=4|Verso=2
16	fame	hunger	NOUN	Canto=4|Verso=2|SpaceAfter=No
17	,	,	PUNCT	_
18	che	that	SCONJ	Canto=4|Verso=3
19	liber'	free	ADJ	Canto=4|Verso=3
20	omo	man	NOUN	Canto=4|Verso=3
21	l'	the	DET	Canto=4|Verso=3
22	un	one	PRON	Canto=4|Verso=3
23	recasse	bring	VERB	Canto=4|Verso=3
24-25	ai	_	_	Canto=4|Comment=a-i|Verso=3
24	a	to	ADP	_
25	il	the	DET	_
26	denti	teeth	NOUN	Canto=4|Verso=3|SpaceAfter=No
27	;	;	PUNCT	_
28	sì	so	ADV	Canto=4|Verso=4
29	si	EXPL	PRON	Canto=4|Verso=4
30	starebbe	stay	VERB	Canto=4|Verso=4
31	un	a	DET	Canto=4|Verso=4
32	agno	lamb	NOUN	Canto=4|Verso=4
33	intra	between	ADP	Canto=4|Verso=4
34	due	two	NUM	Canto=4|Verso=4
35	brame	ravenings	NOUN	Canto=4|Verso=4
36	di	of	ADP	Canto=4|Verso=5
37	fieri	fierce	ADJ	Canto=4|Verso=5
38	lupi	wolves	NOUN	Canto=4|Verso=5|SpaceAfter=No
39	,	,	PUNCT	_
40	igualmente	bothalike	ADV	Canto=4|Verso=5
41	temendo	fearing	VERB	Canto=4|Verso=5|SpaceAfter=No
42	;	;	PUNCT	_
43	sì	so	ADV	Canto=4|Verso=6
44	si	EXPL	PRON	Canto=4|Verso=6
45	starebbe	stay	VERB	Canto=4|Verso=6
46	un	a	DET	Canto=4|Verso=6
47	cane	dog	NOUN	Canto=4|Verso=6
48	intra	between	ADP	Canto=4|Verso=6
49	due	two	NUM	Canto=4|Verso=6
50	dame	does	NOUN	Canto=4|Verso=6|SpaceAfter=No
51	:	:	PUNCT	_
52	per	hence	ADP	Canto=4|Verso=7
53	che	hence	PRON	Canto=4|Verso=7|SpaceAfter=No
54	,	,	PUNCT	_
55	s'	if	SCONJ	Canto=4|Verso=7
56	i'	I	PRON	Canto=4|Verso=7
57	mi	myself	PRON	Canto=4|Verso=7
58	tacea	silent	VERB	Canto=4|Verso=7|SpaceAfter=No
59	,	,	PUNCT	_
60	me	myself	PRON	Canto=4|Verso=7
61	non	NEG	ADV	Canto=4|Verso=7
62	riprendo	blame	VERB	Canto=4|Verso=7|SpaceAfter=No
63	,	,	PUNCT	_
64	da	from	ADP	Canto=4|Verso=8
65	li	the	DET	Canto=4|Verso=8
66	miei	my	DET	Canto=4|Verso=8
67	dubbi	doubts	NOUN	Canto=4|Verso=8
68	d'	of	ADP	_
69	un	one	DET	_
70	modo	way	NOUN	SpaceAfter=No
71	sospinto	impelled	VERB	Canto=4|Verso=8|SpaceAfter=No
72	,	,	PUNCT	_
73	poi	since	ADV	_
74	ch'	since	SCONJ	_
75	era	was	AUX	Canto=4|Verso=9
76	necessario	necessary	ADJ	Canto=4|Verso=9|SpaceAfter=No
77	,	,	PUNCT	_
78	né	nor	CCONJ	Canto=4|Verso=9
79	commendo	commend	VERB	Canto=4|Verso=9|SpaceAfter=No
80	.	.	PUNCT	_
				
# sent_id = 2				
# text = Io mi tacea, ma 'l mio disir dipinto m' era nel viso, e 'l dimandar con ello, più caldo assai che per parlar distinto.				
# text_en = I did not speak, but in my face were seen longing and questioning, more ardent than if spoken words had made them evident.				
# lang = it. old				
1	Io	I	PRON	Canto=4|Verso=10
2	mi	myself	PRON	Canto=4|Verso=10
3	tacea	silent	VERB	Canto=4|Verso=10|SpaceAfter=No
4	,	,	PUNCT	_
5	ma	but	CCONJ	Canto=4|Verso=10
6	l	the	DET	Canto=4|Verso=10
7	mio	my	DET	Canto=4|Verso=10
8	disir	desire	NOUN	Canto=4|Verso=10
9	dipinto	painted	VERB	Canto=4|Verso=10
10	m'	myself	PRON	Canto=4|Verso=11
11	era	was	AUX	Canto=4|Verso=11
12-13	nel	_	_	Canto=4|Comment=ne-l|Verso=11
12	in	in	ADP	_
13	il	the	DET	_
14	viso	face	NOUN	Canto=4|Verso=11|SpaceAfter=No
15	,	,	PUNCT	_
16	e	and	CCONJ	Canto=4|Verso=11
17	l	the	DET	Canto=4|Verso=11
18	dimandar	questioning	VERB	Canto=4|Verso=11
19	con	with	ADP	Canto=4|Verso=11
20	ello	that	PRON	Canto=4|Verso=11|SpaceAfter=No
21	,	,	PUNCT	_
22	più	more	ADV	Canto=4|Verso=12
23	caldo	fervent	ADJ	Canto=4|Verso=12
24	assai	far	ADV	Canto=4|Verso=12
25	che	that	SCONJ	Canto=4|Verso=12
26	per	by	ADP	Canto=4|Verso=12
27	parlar	speech	VERB	Canto=4|Verso=12
28	distinto	articulated	VERB	Canto=4|Verso=12|SpaceAfter=No
29	.	.	PUNCT	_
				
# sent_id = 3				
# text = Fé sì Beatrice qual fé Daniello, Nabuccodonosor levando d' ira, che l' avea fatto ingiustamente fello; e disse: «Io veggio ben come ti tira uno e altro disio, sì che tua cura sé stessa lega sì che fuor non spira.				
