# student = Stavros Bompolas				
# mail: s.bompolas@athenarc.gr				
# language = Lesbian, el (Greek)				
# description = This is an example of the format we expect for data provided by students for the UniDive training school.				
# For each sentence, "# sent_id', "# text" and "# text_en" are required, any other field can be added				
# For each token: col1 = token in the language, col2 = English translation or Gloss, col3 (optional) = POS, col4 (optional) = comment				
				
# sent_id = 1				
# text = Τι να κάνου βρε μάνα;				
# text_en = What should I do, mom?				
# lang = Lesbian				
Τι	What	PRON	Case=Acc|Gender=Neut|Number=Sing|Person=3|PronType=Int	
να	should	AUX		
κάνου	I do	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Voice=Act	
βρε	particle used for emphasis	INTJ		
μάνα	mom	NOUN	Case=Voc|Gender=Fem|Number=Sing	
;	?	PUNCT		
				
# sent_id = 2				
# text = Τα τουν κάνου;				
# text_en = What should I do with him?				
# lang = Lesbian				
Τα	What should	PRON		Here, 'Τα' is a combination of the interrogative pronoun 'Τι' (as seen in line 12) and the auxiliary 'να' (line 13). Both forms are attested in the sources. How should we treat them?
τουν	him	PRON	Case=Acc|Gender=Masc|Number=Sing|Person=3|PersPronType=We|PronType=Prs	
κάνω	I do	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Voice=Act	
;	?	PUNCT		
				
# sent_id = 3				
# text = Είδι του μ-πατέρα τ'.				
# text_en = He saw his father.				
# lang = Lesbian				
Είδι	He saw	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|Voice=Act	
του	the	DET	Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	
μ-πατέρα	father	NOUN	Case=Acc|Gender=Masc|Number=Sing	This "μ-" is sometimes used by speakers to indicate the voicing of the following consonant after the final "-ν" of the definite article, which is now reanalyzed as part of the noun, i.e., τουν πατέρα [tun pa'tera] > του-ν-πατέρα [tu-n-pa'tera] > του μ-πατέρα [tu m-patera]. See and compare also lines 44 and 45 in sent_id = 4. How should we handle these cases (e.g., tokenization, lemmatization)?
τ'	his	PRON	Case=Gen|Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs	
.		PUNCT		
				
# sent_id = 4				
# text = Mι παρούγδ'σι στουν πατέρα μ'.				
# text_en = He handed me over to my father.				
# lang = Lesbian				
Mι	Me	PRON	Case=Acc|Number=Sing|Person=1|PronType=Prs	
παρούγδ'σι	handed over	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|Voice=Act	
στουν	to the			How should we treat prepositional articles (e.g., tokenization, lemmatization, features)?
πατέρα	father	NOUN	Case=Acc|Gender=Masc|Number=Sing	
μ'	my	PRON	Case=Gen|Gender=Masc|Number=Sing|Person=1|Poss=Yes|PronType=Prs	
.	.	PUNCT		
				
# sent_id = 5				
