# student = Nikolett Mus		
# mail: mus.nikolett@gmail.com		
# language = yrk (yrk-tun, Tundra Nenets, Samoyedic, Uralic)		
# description = "Route description 1": the data were collected via a modified version of the original HCRC map task (https://groups.inf.ed.ac.uk/maptask) implemented for one speaker (the speaker was the Instruction Giver, and I as the fieldworker was the Instruction Follower); the map was simplified and the labelled features (number of them) were made more familiar to cultural circumstances. The text was recorded in 2017 in Moscow.		
		
# sent_id = 1		
# text = Маряд' мюня нудм'.		
# text_en = I stand behind the fence.		
# lang = yrk-tun		
Маряд'	fence.gen	N
мюня	behind	Postp
нудм'.	stand.1sg	V
		
# sent_id = 2		
# text = Тикахана сидя ты таняӈаха".		
# text_en = There are two reindeer there.		
# lang = yrk-tun		
Тикахана	there	Adv
сидя	two	Num
ты	reindeer	N
таняӈаха".	exist.3du	V
		
# sent_id = 3		
# text = Сидя тэхэ' няд маряд' нимня маряд' тяха' санэйв'.		
# text_en = I jump over the fence away from the two reindeer.		
# lang = yrk-tun		
Сидя	two	Num
тэхэ'	reindeer.du	N
няд	at.abl	Postp
маряд'	fence.gen	N
нимня	top.prol	N
маряд'	fence.gen	N
тяха'	over	Postp
санэйв'.	jump.1sg.refl	V
		
# sent_id = 4		
# text = Сана"махадани' тамна тяха' нэкалӈав.		
# text_en = After I jump I go on.		
# lang = yrk-tun		
Сана"махадани'	jump.pfv.an.abl.obl.1sg	
тамна	even	Adv
тяха'	further	Adv
нэкалӈав.	pull.1sg.sg	V
		
# sent_id = 5		
# text = Нерни' няна пирця харадм' манэ"ӈадм'.		
# text_en = I notice a tall tower in front of me.		
# lang = yrk-tun		
Нерни'	in.front.of.gen.1sg	Postp
няна	1sg.dat	Pron
пирця	tall	Adj
харадм'	house.acc	N
манэ"ӈадм'.	see.1sg	V
		
# sent_id = 6		
# text = Махалэйда мятрев' саблюй.		
# text_en = Its roof is peaked like a tent.		
# lang = yrk-tun		
Махалэйда	roof.3sg	N
мятрев'	tent.equ	N
саблюй.	peak	Adj
		
# sent_id = 7		
# text = Сидя сидеранда си, нёнда си таня.		
# text_en = It has two windows and a door.		
# lang = yrk-tun		
Сидя	two	Num
сидеранда	window.gen.3sg	N
си,	hole	N
нёнда	door.gen.3sg	N
си	hole	N
таня.	exist.3sg	V
		
# sent_id = 8		
# text = Нёнда си танцянзавэй.		
# text_en = Its door has stairs (“its door is bestaired”).		
# lang = yrk-tun		
Нёнда	door.gen.3sg	N
си	hole	N
танцянзавэй.	stairs.com	N
		
# sent_id = 9		
# text = Танця' сер' танэйв'.		
# text_en = I go up the stairs.		
# lang = yrk-tun		
Танця'	stairs	N
сер'	thing	N
танэйв'.	go.up.1sg.refl	V
		
